,Incident Number,Lon,Latt,geometry,index_right,name
0,26688616,1.1380299999999999,51.08933,POINT (1.13803 51.08933),1917,CT19 4
17,26696396,1.13513,51.08846,POINT (1.13513 51.08846),1917,CT19 4
24,26698880,1.13742,51.08744,POINT (1.13742 51.08744),1917,CT19 4
25,26699059,1.15359,51.09213,POINT (1.15359 51.09213),1917,CT19 4
48,26718500,1.14739,51.08777,POINT (1.14739 51.08777),1917,CT19 4
56,26727403,1.1345100000000001,51.08873,POINT (1.13451 51.08873),1917,CT19 4
74,26735593,1.12989,51.08999,POINT (1.12989 51.08999),1917,CT19 4
89,26750390,1.13606,51.08767,POINT (1.13606 51.08767),1917,CT19 4
103,26759882,1.14944,51.09265,POINT (1.14944 51.09265),1917,CT19 4
109,26767455,1.15192,51.089940000000006,POINT (1.15192 51.08994000000001),1917,CT19 4
117,26772784,1.13507,51.08871,POINT (1.13507 51.08871),1917,CT19 4
120,26773282,1.15517,51.09243,POINT (1.15517 51.09243),1917,CT19 4
134,26782333,1.1348,51.09238,POINT (1.1348 51.09238),1917,CT19 4
136,26785116,1.14612,51.08892,POINT (1.14612 51.08892),1917,CT19 4
137,26785276,1.14783,51.08703,POINT (1.14783 51.08703),1917,CT19 4
141,26787056,1.14208,51.0866,POINT (1.14208 51.0866),1917,CT19 4
143,26789073,1.14088,51.0911,POINT (1.14088 51.0911),1917,CT19 4
144,26789881,1.15221,51.08805,POINT (1.15221 51.08805),1917,CT19 4
148,26791092,1.1348,51.09238,POINT (1.1348 51.09238),1917,CT19 4
165,26799042,1.13909,51.09028,POINT (1.13909 51.09028),1917,CT19 4
169,26804674,1.15198,51.09084,POINT (1.15198 51.09084),1917,CT19 4
188,26815832,1.14479,51.09013,POINT (1.14479 51.09013),1917,CT19 4
222,26836030,1.15019,51.08549,POINT (1.15019 51.08549),1917,CT19 4
237,26845525,1.14696,51.08675,POINT (1.14696 51.08675),1917,CT19 4
291,26886186,1.13047,51.08871,POINT (1.13047 51.08871),1917,CT19 4
294,26886796,1.13789,51.09048,POINT (1.13789 51.09048),1917,CT19 4
297,26890351,1.14771,51.09095,POINT (1.14771 51.09095),1917,CT19 4
318,26909951,1.13006,51.08871,POINT (1.13006 51.08871),1917,CT19 4
326,26916782,1.1348,51.09238,POINT (1.1348 51.09238),1917,CT19 4
329,26918402,1.1380700000000001,51.08933,POINT (1.13807 51.08933),1917,CT19 4
345,26932875,1.13412,51.08891,POINT (1.13412 51.08891),1917,CT19 4
358,26941278,1.14919,51.091809999999995,POINT (1.14919 51.09181),1917,CT19 4
362,26943152,1.1520000000000001,51.08547,POINT (1.152 51.08547),1917,CT19 4
370,26948593,1.1475799999999998,51.08916,POINT (1.14758 51.08916),1917,CT19 4
381,26958696,1.1348,51.09238,POINT (1.1348 51.09238),1917,CT19 4
413,26980591,1.1348,51.09238,POINT (1.1348 51.09238),1917,CT19 4
416,26982374,1.14331,51.08927,POINT (1.14331 51.08927),1917,CT19 4
439,27000626,1.15196,51.0954,POINT (1.15196 51.0954),1917,CT19 4
471,27026105,1.15105,51.08828,POINT (1.15105 51.08828),1917,CT19 4
479,27032768,1.15015,51.08983,POINT (1.15015 51.08983),1917,CT19 4
508,27055724,1.13067,51.08999,POINT (1.13067 51.08999),1917,CT19 4
532,27072721,1.13871,51.09683,POINT (1.13871 51.09683),1917,CT19 4
535,27077574,1.1511799999999999,51.09002,POINT (1.15118 51.09002),1917,CT19 4
558,27091252,1.13067,51.08999,POINT (1.13067 51.08999),1917,CT19 4
567,27100093,1.1422299999999999,51.09493,POINT (1.14223 51.09493),1917,CT19 4
571,27102483,1.15019,51.08654,POINT (1.15019 51.08654),1917,CT19 4
575,27107310,1.14091,51.08706,POINT (1.14091 51.08706),1917,CT19 4
589,27119122,1.12944,51.08933,POINT (1.12944 51.08933),1917,CT19 4
593,27123380,1.13067,51.08999,POINT (1.13067 51.08999),1917,CT19 4
603,27128378,1.1345100000000001,51.0892,POINT (1.13451 51.0892),1917,CT19 4
625,27147480,1.13042,51.09142,POINT (1.13042 51.09142),1917,CT19 4
651,27165782,1.14894,51.08719,POINT (1.14894 51.08719),1917,CT19 4
658,27174437,1.15174,51.08724,POINT (1.15174 51.08724),1917,CT19 4
675,27181703,1.13069,51.090709999999994,POINT (1.13069 51.09070999999999),1917,CT19 4
683,27186606,1.15689,51.094190000000005,POINT (1.15689 51.09419),1917,CT19 4
691,27193925,1.14477,51.08682,POINT (1.14477 51.08682),1917,CT19 4
711,27209494,1.13069,51.090709999999994,POINT (1.13069 51.09070999999999),1917,CT19 4
740,27227124,1.14215,51.088390000000004,POINT (1.14215 51.08839),1917,CT19 4
741,27227742,1.14907,51.08692,POINT (1.14907 51.08692),1917,CT19 4
760,27245257,1.13067,51.08999,POINT (1.13067 51.08999),1917,CT19 4
779,27260689,1.1348,51.09238,POINT (1.1348 51.09238),1917,CT19 4
780,27260723,1.1345100000000001,51.0892,POINT (1.13451 51.0892),1917,CT19 4
798,27272537,1.13618,51.089459999999995,POINT (1.13618 51.08946),1917,CT19 4
807,27280931,1.1345100000000001,51.08873,POINT (1.13451 51.08873),1917,CT19 4
813,27283313,1.1348,51.09238,POINT (1.1348 51.09238),1917,CT19 4
833,27301206,1.12989,51.08999,POINT (1.12989 51.08999),1917,CT19 4
873,27319594,1.13067,51.08999,POINT (1.13067 51.08999),1917,CT19 4
878,27322755,1.1554799999999998,51.095909999999996,POINT (1.15548 51.09591),1917,CT19 4
880,27325055,1.15395,51.08542,POINT (1.15395 51.08542),1917,CT19 4
917,27352683,1.13067,51.08999,POINT (1.13067 51.08999),1917,CT19 4
932,27374225,1.15068,51.08676,POINT (1.15068 51.08676),1917,CT19 4
941,27381892,1.14677,51.087579999999996,POINT (1.14677 51.08758),1917,CT19 4
944,27384987,1.1348,51.09238,POINT (1.1348 51.09238),1917,CT19 4
973,27405207,1.1348,51.09238,POINT (1.1348 51.09238),1917,CT19 4
979,27407715,1.13049,51.09024,POINT (1.13049 51.09024),1917,CT19 4
988,27413933,1.13069,51.090709999999994,POINT (1.13069 51.09070999999999),1917,CT19 4
995,27416066,1.13106,51.088640000000005,POINT (1.13106 51.08864000000001),1917,CT19 4
1005,27427470,1.14133,51.087709999999994,POINT (1.14133 51.08770999999999),1917,CT19 4
1022,27439039,1.14606,51.08773,POINT (1.14606 51.08773),1917,CT19 4
1023,27439098,1.13106,51.088640000000005,POINT (1.13106 51.08864000000001),1917,CT19 4
1039,27454935,1.1345100000000001,51.08873,POINT (1.13451 51.08873),1917,CT19 4
1044,27457249,1.15359,51.09213,POINT (1.15359 51.09213),1917,CT19 4
1054,27464366,1.1348,51.09238,POINT (1.1348 51.09238),1917,CT19 4
1056,27465405,1.1449799999999999,51.09282,POINT (1.14498 51.09282),1917,CT19 4
1085,27487739,1.13301,51.0899,POINT (1.13301 51.0899),1917,CT19 4
1109,27503682,1.13507,51.08871,POINT (1.13507 51.08871),1917,CT19 4
1145,27533344,1.1348,51.09238,POINT (1.1348 51.09238),1917,CT19 4
1168,27553343,1.13412,51.08891,POINT (1.13412 51.08891),1917,CT19 4
1180,27559631,1.15517,51.09243,POINT (1.15517 51.09243),1917,CT19 4
1187,27568575,1.1474,51.086459999999995,POINT (1.1474 51.08646),1917,CT19 4
